Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2007,3,7,25,3,7/25/2007,CO,19704,CO,N29129,483,14843,1484302,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1745,1736,-9,0,0,-1,1700-1759,17,1753,2137,10,2157,2147,-10,0,0,-1,2100-2159,0,,0,252,251,224,1,1608,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N11641,1114,11278,1127801,30852,DCA,"Washington, DC",VA,51,Virginia,38,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1930,1920,-10,0,0,-1,1900-1959,20,1940,2027,7,2103,2034,-29,0,0,-2,2100-2159,0,,0,93,74,47,1,199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N18611,1700,11697,1169702,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1905,1857,-8,0,0,-1,1900-1959,16,1913,2140,8,2224,2148,-36,0,0,-2,2200-2259,0,,0,199,171,147,1,1065,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N13720,1686,14908,1490802,32575,SNA,"Santa Ana, CA",CA,6,California,91,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,2115,2110,-5,0,0,-1,2100-2159,15,2125,525,8,523,533,10,10,0,0,0001-0559,0,,0,308,323,300,1,2433,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N14652,1191,10721,1072101,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1530,1530,0,0,0,0,1500-1559,32,1602,1701,10,1709,1711,2,2,0,0,1700-1759,0,,0,99,101,59,1,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N18223,1403,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6,California,91,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,700,655,-5,0,0,-1,0700-0759,23,718,1528,11,1529,1539,10,10,0,0,1500-1559,0,,0,329,344,310,1,2454,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N15659,1162,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1910,1901,-9,0,0,-1,1900-1959,43,1944,2226,13,2235,2239,4,4,0,0,2200-2259,0,,0,145,158,102,1,719,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N27610,1134,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1010,1002,-8,0,0,-1,1000-1059,12,1014,1419,9,1450,1428,-22,0,0,-2,1400-1459,0,,0,220,206,185,1,1372,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N57868,466,14843,1484302,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1355,1427,32,32,1,2,1300-1359,20,1447,1816,13,1805,1829,24,24,1,1,1800-1859,0,,0,250,242,209,1,1608,7,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N69602,1199,10721,1072101,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1840,1833,-7,0,0,-1,1800-1859,27,1900,1951,13,2019,2004,-15,0,0,-1,2000-2059,0,,0,99,91,51,1,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
